AÑO ESTRENO;PELÍCULA ;GÉNERO;SUBGÉNERO ;DIRECTOR;ACTOR PRINCIPAL;PRODUCTORA/ESTUDIO;LUGAR
1985;Out of Africa;Drama;Romance;Sydney Pollack;Meryl Streep;Universal Pictures;Ganadora
1985;The Color Purple;Drama;Drama;Steven Spielberg;Whoopi Goldberg;Warner Bros.;Nominada
1985;Kiss of the Spider Woman;Drama;Drama político;Héctor Babenco;William Hurt;Island Pictures;Nominada
1985;Prizzi's Honor;Comedia;Comedia negra;John Huston;Jack Nicholson;20th Century Fox;Nominada
1985;Witness;Thriller;Crimen ;Peter Weir;Harrison Ford;Paramount Pictures;Nominada
1984;Amadeus;Drama;Biográfico ;Miloš Forman;F. Murray Abraham;Orion Pictures;Ganadora
1984;The Killing Fields;Drama;Bélico;Roland Joffé;Sam Waterston;Warner Bros.;Nominada
1984;A Passage to India;Drama;Histórico;David Lean;Judy Davis;Columbia Pictures;Nominada
1984;Places in the Heart;Drama;Drama social;Robert Benton;Sally Field;TriStar Pictures;Nominada
1984;A Soldier's Story;Drama;Crimen ;Norman Jewison;Howard E. Rollins Jr.;Columbia Pictures;Nominada
1983;Terms of Endearment;Drama;Comedia dramática ;James L. Brooks;Shirley MacLaine;Paramount Pictures;Ganadora
1983;The Big Chill;Drama;Comedia dramática ;Lawrence Kasdan;Glenn Close;Columbia Pictures;Nominada
1983;The Dresser;Drama;Drama teatral;Peter Yates;Albert Finney;Columbia Pictures;Nominada
1983;The Right Stuff;Drama;Histórico;Philip Kaufman;Sam Shepard;Warner Bros.;Nominada
1983;Tender Mercies;Drama;Drama musical;Bruce Beresford;Robert Duvall;Universal Pictures;Nominada
1982;Gandhi;Drama;Biográfico ;Richard Attenborough;Ben Kingsley;Columbia Pictures;Nominada
1982;E.T. the Extra-Terrestrial;Ciencia ficción;Aventura ;Steven Spielberg;E.T.;Universal Pictures;Ganadora
1982;Missing;Drama;Político ;Costa-Gavras;Jack Lemmon;Universal Pictures;Nominada
1982;Tootsie;Comedia;Comedia romántica;Sydney Pollack;Dustin Hoffman;Columbia Pictures;Nominada
1982;The Verdict;Drama;Judicial;Sidney Lumet;Paul Newman;20th Century Fox;Nominada
1981;Chariots of Fire;Drama;Deportivo;Hugh Hudson;Ben Cross;Warner Bros.;Ganadora
1981;Atlantic City;Drama;Crimen;Louis Malle;Burt Lancaster;Paramount Pictures;Nominada
1981;On Golden Pond;Drama;Familiar;Mark Rydell;Katharine Hepburn;Universal Pictures;Nominada
1981;Raiders of the Lost Ark;Aventura;Aventura ;Steven Spielberg;Harrison Ford;Paramount Pictures;Nominada
1981;Reds;Drama;Histórico ;Warren Beatty;Warren Beatty;Paramount Pictures;Nominada
1980;Ordinary People;Drama;Familiar;Robert Redford;Donald Sutherland;Paramount Pictures;Ganadora
1980;Coal Miner's Daughter;Drama;Biográfico ;Michael Apted;Sissy Spacek;Universal Pictures;Nominada
1980;The Elephant Man;Drama;Biográfico ;David Lynch;John Hurt;Paramount Pictures;Nominada
1980;Raging Bull;Drama;Biográfico ;Martin Scorsese;Robert De Niro;United Artists;Nominada
1980;Tess;Drama;Romance;Roman Polanski;Nastassja Kinski;Columbia Pictures;Nominada
1979;Kramer vs. Kramer;Drama;Familiar;Robert Benton;Dustin Hoffman;Columbia Pictures;Ganadora
1979;All That Jazz;Drama;Musical;Bob Fosse;Roy Scheider;20th Century Fox;Nominada
1979;Apocalypse Now;Bélico;Drama;Francis Ford Coppola;Martin Sheen;United Artists;Nominada
1979;Breaking Away;Comedia;Drama;Peter Yates;Dennis Christopher;20th Century Fox;Nominada
1979;Norma Rae;Drama;Drama;Martin Ritt;Sally Field;20th Century Fox;Nominada
1978;The Deer Hunter;Drama;Bélico;Michael Cimino;Robert De Niro;Universal Pictures;Ganadora
1978;Coming Home;Drama;Bélico ;Hal Ashby;Jane Fonda;United Artists;Nominada
1978;Heaven Can Wait;Comedia;Fantástica ;Warren Beatty / Buck Henry;Warren Beatty;Paramount Pictures;Nominada
1978;Midnight Express;Drama;Biográfico;Alan Parker;Brad Davis;Columbia Pictures;Nominada
1978;An Unmarried Woman;Drama;Romance ;Paul Mazursky;Jill Clayburgh;20th Century Fox;Nominada
1977;Annie Hall;Comedia;Comedia romántica;Woody Allen;Woody Allen;United Artists;Ganadora
1977;The Goodbye Girl;Comedia;Comedia romántica;Herbert Ross;Richard Dreyfuss;Warner Bros.;Nominada
1977;Julia;Drama;Biográfico ;Fred Zinnemann;Jane Fonda;20th Century Fox;Nominada
1977;Star Wars;Ciencia ficción;Aventura ;George Lucas;Mark Hamill;20th Century Fox;Nominada
1977;The Turning Point;Drama;Musical ;Herbert Ross;Anne Bancroft;20th Century Fox;Nominada
